match_date,surface,best_of,winner,loser,wsets,lsets
2000-01-10,Hard,3,Gaudio G.,Sargsian S.,2,1
2000-01-10,Hard,3,Gustafsson M.,Nielsen M.,2,0
2000-01-10,Hard,3,Haas T.,Tarango J.,2,1
2000-01-10,Hard,3,Johansson T.,Weiner G.,2,0
2000-01-10,Hard,3,Martin A.,Berasategui A.,2,0
2000-01-10,Hard,3,Norman M.,Costa F.,2,0
2000-01-10,Hard,3,Novak J.,Bjorkman J.,2,0
2000-01-10,Hard,3,Rosset M.,Vicente F.,2,0
2000-01-10,Hard,3,Schalken S.,Ivanisevic G.,2,1
2000-01-10,Hard,3,Sell M.,Escude N.,2,1
2000-01-10,Hard,3,van Lottum J.,Woodruff C.,2,0
2000-01-10,Hard,3,Balcells J.,Haas T.,2,0
2000-01-10,Hard,3,Chang M.,Sell M.,2,1
2000-01-10,Hard,3,Ferrero J.C.,Martin A.,2,1
2000-01-10,Hard,3,Gaudio G.,Novak J.,2,1
2000-01-10,Hard,3,Gustafsson M.,Johansson T.,2,0
2000-01-10,Hard,3,Norman M.,Gambill J.M.,2,0
2000-01-10,Hard,3,Rosset M.,van Lottum J.,2,0
2000-01-10,Hard,3,Schalken S.,Behrend T.,2,0
2000-01-10,Hard,3,Balcells J.,Ferrero J.C.,2,1
2000-01-10,Hard,3,Chang M.,Gustafsson M.,1,1
2000-01-10,Hard,3,Gaudio G.,Schalken S.,2,0
2000-01-10,Hard,3,Norman M.,Rosset M.,2,0
2000-01-10,Hard,3,Chang M.,Balcells J.,2,1
2000-01-10,Hard,3,Norman M.,Gaudio G.,2,0
2000-01-10,Hard,3,Norman M.,Chang M.,2,1
2000-01-10,Hard,3,Arazi H.,Mantilla F.,2,0
2000-01-10,Hard,3,Clavet F.,Kuerten G.,2,1
2000-01-10,Hard,3,Clement A.,Zabaleta M.,2,1
2000-01-10,Hard,3,Corretja A.,Pioline C.,2,0
2000-01-10,Hard,3,Dosedel S.,Woodforde M.,2,0
2000-01-10,Hard,3,Hewitt L.,Grosjean S.,2,0
2000-01-10,Hard,3,Hrbaty D.,Ullyett K.,2,0
2000-01-10,Hard,3,Ilie A.,Costa A.,2,1
2000-01-10,Hard,3,Koubek S.,Meligeni F.,2,0
2000-01-10,Hard,3,Kucera K.,Damm M.,2,0
2000-01-10,Hard,3,Lapentti N.,El Aynaoui Y.,2,1
2000-01-10,Hard,3,Ljubicic I.,Safin M.,2,1
2000-01-10,Hard,3,Martin T.,Medvedev A.,2,1
2000-01-10,Hard,3,Stoltenberg J.,Diaz J.,2,1
2000-01-10,Hard,3,Vacek D.,Lisnard J.,2,0
2000-01-10,Hard,3,Voinea A.,Spadea V.,2,1
2000-01-10,Hard,3,Corretja A.,Arazi H.,2,1
2000-01-10,Hard,3,Dosedel S.,Ilie A.,2,0
2000-01-10,Hard,3,Hewitt L.,Clavet F.,2,0
2000-01-10,Hard,3,Kucera K.,Clement A.,2,0
2000-01-10,Hard,3,Lapentti N.,Koubek S.,2,1
2000-01-10,Hard,3,Ljubicic I.,Martin T.,2,0
2000-01-10,Hard,3,Stoltenberg J.,Hrbaty D.,2,1
2000-01-10,Hard,3,Voinea A.,Vacek D.,2,0
2000-01-10,Hard,3,Corretja A.,Dosedel S.,2,1
2000-01-10,Hard,3,Hewitt L.,Voinea A.,2,0
2000-01-10,Hard,3,Ljubicic I.,Kucera K.,2,1
2000-01-10,Hard,3,Stoltenberg J.,Lapentti N.,2,1
2000-01-10,Hard,3,Hewitt L.,Corretja A.,2,0
2000-01-10,Hard,3,Stoltenberg J.,Ljubicic I.,2,0
2000-01-10,Hard,3,Hewitt L.,Stoltenberg J.,2,0
2000-01-17,Hard,5,Agassi A.,Puerta M.,3,0
2000-01-17,Hard,5,Alami K.,Manta L.,3,0
2000-01-17,Hard,5,Arazi H.,Alonso J.,3,0
2000-01-17,Hard,5,Behrend T.,Meligeni F.,3,2
2000-01-17,Hard,5,Bjorkman J.,Stoltenberg J.,3,2
2000-01-17,Hard,5,Black W.,Gambill J.M.,3,0
2000-01-17,Hard,5,Clavet F.,Hrbaty D.,3,1
2000-01-17,Hard,5,Clement A.,van Lottum J.,2,0
2000-01-17,Hard,5,Corretja A.,Sargsian S.,3,0
2000-01-17,Hard,5,Dosedel S.,Boutter J.,3,1
2000-01-17,Hard,5,Dupuis A.,Rodriguez M.,3,0
2000-01-17,Hard,5,El Aynaoui Y.,Parmar A.,3,2
2000-01-17,Hard,5,Escude N.,Courier J.,3,1
2000-01-17,Hard,5,Federer R.,Chang M.,3,0
2000-01-17,Hard,5,Ferreira W.,Bastl G.,3,1
2000-01-17,Hard,5,Ferrero J.C.,Draper S.,3,0
2000-01-17,Hard,5,Fromberg R.,Enqvist T.,3,2
2000-01-17,Hard,5,Grosjean S.,Motomura G.,3,0
2000-01-17,Hard,5,Haas T.,Saulnier C.,3,1
2000-01-17,Hard,5,Henman T.,Golmard J.,3,1
2000-01-17,Hard,5,Hewitt L.,Goldstein P.,3,1
2000-01-17,Hard,5,Hill M.,Karbacher B.,3,0
2000-01-17,Hard,5,Ilie A.,Tarango J.,3,1
2000-01-17,Hard,5,Ivanisevic G.,Pioline C.,3,2
2000-01-17,Hard,5,Johansson T.,Kulti N.,3,0
2000-01-17,Hard,5,Jonsson F.,Diaz J.,3,2
2000-01-17,Hard,5,Kafelnikov Y.,Knippschild J.,3,1
2000-01-17,Hard,5,Kiefer N.,Canas G.,3,1
2000-01-17,Hard,5,Koubek S.,Cadart R.,3,1
2000-01-17,Hard,5,Krajicek R.,Santoro F.,3,0
2000-01-17,Hard,5,Kroslak J.,Lopez-Moron A.,3,1
2000-01-17,Hard,5,Lapentti N.,Medvedev A.,3,2
