Player_1,Player_2,Winner,Surface
Sampras P.,Ferreira W.,Sampras P.,Hard
Chela J.I.,Hantschk M.,Chela J.I.,Hard
Federer R.,Ivanisevic G.,Federer R.,Hard
Nalbandian D.,Squillari F.,Squillari F.,Hard
Ruud C.,Koubek S.,Koubek S.,Hard
Arazi H.,Schalken S.,Arazi H.,Hard
Behrend T.,Vinck C.,Vinck C.,Hard
Blanco G.,Fish M.,Fish M.,Hard
Meligeni F.,Squillari F.,Squillari F.,Hard
Medvedev A.,Vicente F.,Medvedev A.,Hard
Burgsmuller L.,Santoro F.,Santoro F.,Hard
Norman M.,Chang M.,Norman M.,Hard
Schalken S.,Diaz J.,Schalken S.,Hard
Vicente F.,Arazi H.,Arazi H.,Hard
Blanco G.,Portas A.,Portas A.,Hard
Clement A.,Pretzsch A.,Clement A.,Hard
Krajicek R.,Kiefer N.,Krajicek R.,Hard
Gambill J.M.,Fromberg R.,Gambill J.M.,Hard
Rodriguez M.,Marin J.A.,Rodriguez M.,Hard
Pioline C.,Voinea A.,Pioline C.,Hard
Squillari F.,Hrbaty D.,Hrbaty D.,Hard
Sargsian S.,van Lottum J.,Sargsian S.,Hard
Etlis G.,Massu N.,Massu N.,Hard
Larsson M.,Ferreira W.,Ferreira W.,Hard
Johansson T.,Bastl G.,Johansson T.,Hard
Kafelnikov Y.,Chela J.I.,Chela J.I.,Hard
Rodriguez M.,Manta L.,Rodriguez M.,Hard
Hewitt L.,Ferrero J.C.,Hewitt L.,Hard
Tarango J.,Philippoussis M.,Tarango J.,Hard
Fromberg R.,Sa A.,Fromberg R.,Hard
Rochus C.,Medvedev A.,Medvedev A.,Hard
Arazi H.,Haas T.,Arazi H.,Hard
Arazi H.,Vicente F.,Vicente F.,Hard
Calleri A.,Kuerten G.,Kuerten G.,Hard
Ruud C.,Ferreira W.,Ruud C.,Hard
Hrbaty D.,Bjorkman J.,Hrbaty D.,Hard
Ulihrach B.,Rafter P.,Ulihrach B.,Hard
Malisse X.,Delgado R.,Delgado R.,Hard
Stoltenberg J.,Massu N.,Stoltenberg J.,Hard
Corretja A.,Sargsian S.,Corretja A.,Hard
Llodra M.,Gaudio G.,Llodra M.,Hard
Schuettler R.,Norman M.,Norman M.,Hard
Rosset M.,Arazi H.,Rosset M.,Hard
Ivanisevic G.,Black W.,Ivanisevic G.,Hard
Kroslak J.,Lopez-Moron A.,Kroslak J.,Hard
Haas T.,Black B.,Black B.,Hard
Browne F.,Haas T.,Haas T.,Hard
Lapentti N.,Ulihrach B.,Lapentti N.,Hard
Woodruff C.,Sampras P.,Sampras P.,Hard
Sargsian S.,Costa A.,Sargsian S.,Hard
Knippschild J.,Marin J.A.,Marin J.A.,Hard
di Pasquale A.,Pavel A.,Pavel A.,Hard
Agassi A.,Kuerten G.,Kuerten G.,Hard
Gimelstob J.,Santoro F.,Gimelstob J.,Hard
Calatrava A.,Goldstein P.,Calatrava A.,Hard
Escude N.,Courier J.,Escude N.,Hard
Meligeni F.,Behrend T.,Behrend T.,Hard
Pozzi G.,Siemerink J.,Pozzi G.,Hard
Kulti N.,Johansson T.,Johansson T.,Hard
Stoltenberg J.,Diaz J.,Stoltenberg J.,Hard
Koubek S.,Henman T.,Henman T.,Hard
Clement A.,Woodruff C.,Clement A.,Hard
Willems R.,Popp A.,Willems R.,Hard
Pavel A.,Vicente F.,Pavel A.,Hard
Kroslak J.,Federer R.,Federer R.,Hard
Enqvist T.,Haas T.,Haas T.,Hard
Goldstein P.,Philippoussis M.,Philippoussis M.,Hard
Ilie A.,Tarango J.,Ilie A.,Hard
Rodriguez M.,Savolt A.,Savolt A.,Hard
Hrbaty D.,Pioline C.,Pioline C.,Hard
Ferrero J.C.,Philippoussis M.,Ferrero J.C.,Hard
Martin A.,Gumy H.,Gumy H.,Hard
Santoro F.,Siemerink J.,Santoro F.,Hard
Gumy H.,Massu N.,Gumy H.,Hard
Vacek D.,Lisnard J.,Vacek D.,Hard
Clavet F.,Martin A.,Clavet F.,Hard
Hewitt L.,Clavet F.,Hewitt L.,Hard
Hewitt L.,Grosjean S.,Hewitt L.,Hard
Woodbridge T.,Siemerink J.,Woodbridge T.,Hard
Ljubicic I.,Rosset M.,Rosset M.,Hard
Delgado J.,Black B.,Delgado J.,Hard
Saulnier C.,Philippoussis M.,Philippoussis M.,Hard
Hewitt L.,Voinea A.,Hewitt L.,Hard
Ulihrach B.,Dewulf F.,Ulihrach B.,Hard
Paes L.,Vicente F.,Vicente F.,Hard
Agassi A.,Vanek J.,Vanek J.,Hard
Mamiit C.,Mirnyi M.,Mamiit C.,Hard
Sekulov J.,Ljubicic I.,Sekulov J.,Hard
Sargsian S.,Bryan B.,Bryan B.,Hard
Kuerten G.,Kucera K.,Kucera K.,Hard
Hantschk M.,Mirnyi M.,Mirnyi M.,Hard
Woodruff C.,Chang M.,Chang M.,Hard
Tieleman L.,Liukko V.,Liukko V.,Hard
Alami K.,Gambill J.M.,Gambill J.M.,Hard
Medvedev A.,Ilie A.,Medvedev A.,Hard
Kafelnikov Y.,Medvedev A.,Kafelnikov Y.,Hard
Hewitt L.,Philippoussis M.,Hewitt L.,Hard
Voinea A.,Mirnyi M.,Mirnyi M.,Hard
Jonsson F.,Golmard J.,Golmard J.,Hard
Delgado J.,Heuberger I.,Heuberger I.,Hard
di Pasquale A.,Lapentti N.,Lapentti N.,Hard
Golmard J.,Henman T.,Henman T.,Hard
El Aynaoui Y.,Martin A.,El Aynaoui Y.,Hard
Sa A.,Spadea V.,Sa A.,Hard
Ullyett K.,Hrbaty D.,Hrbaty D.,Hard
Corretja A.,Kucera K.,Corretja A.,Hard
Golmard J.,Spottl M.,Golmard J.,Hard
Pretzsch A.,Fromberg R.,Fromberg R.,Hard
Fromberg R.,Sa A.,Sa A.,Hard
Arazi H.,Dosedel S.,Arazi H.,Hard
Squillari F.,El Aynaoui Y.,Squillari F.,Hard
Chang M.,Federer R.,Chang M.,Hard
Kuerten G.,Pozzi G.,Kuerten G.,Hard
Prodon E.,Meligeni F.,Meligeni F.,Hard
Black B.,Chela J.I.,Chela J.I.,Hard
Grosjean S.,Henman T.,Grosjean S.,Hard
Haas T.,Gaudenzi A.,Haas T.,Hard
Federer R.,Jonsson F.,Federer R.,Hard
Ivanisevic G.,Clement A.,Clement A.,Hard
Pioline C.,Sanguinetti D.,Pioline C.,Hard
Martin T.,Agassi A.,Agassi A.,Hard
Vicente F.,di Pasquale A.,Vicente F.,Hard
Damm M.,Golmard J.,Golmard J.,Hard
Clavet F.,Escude N.,Clavet F.,Hard
Alami K.,Mirnyi M.,Alami K.,Hard
Chela J.I.,Gustafsson M.,Chela J.I.,Hard
Hantschk M.,Delgado R.,Delgado R.,Hard
Gonzalez F.,Mamiit C.,Gonzalez F.,Hard
Rafter P.,Goldstein P.,Goldstein P.,Hard
Kafelnikov Y.,Zabaleta M.,Kafelnikov Y.,Hard
Moya C.,Medvedev A.,Moya C.,Hard
El Aynaoui Y.,Parmar A.,El Aynaoui Y.,Hard
Ivanisevic G.,Kuerten G.,Kuerten G.,Hard
Hantschk M.,Pioline C.,Hantschk M.,Hard
Rios M.,Safin M.,Safin M.,Hard
Escude N.,Dosedel S.,Dosedel S.,Hard
Sargsian S.,Gaudio G.,Gaudio G.,Hard
El Aynaoui Y.,Sargsian S.,Sargsian S.,Hard
Rosset M.,Vicente F.,Rosset M.,Hard
Stoltenberg J.,Bjorkman J.,Bjorkman J.,Hard
Hrbaty D.,Berasategui A.,Hrbaty D.,Hard
Santoro F.,Krajicek R.,Krajicek R.,Hard
Kucera K.,Serrano O.,Kucera K.,Hard
Kroslak J.,Guardiola T.,Guardiola T.,Hard
Tarango J.,Blanco G.,Blanco G.,Hard
Sanguinetti D.,Puerta M.,Puerta M.,Hard
Costa A.,Koubek S.,Costa A.,Hard
